age,education,occupation,sex,hours_per_week,income
58,2,4,0,45,1
48,2,5,1,31,0
34,2,3,0,33,0
62,2,5,0,20,0
27,1,3,1,36,0
40,2,3,0,52,0
58,2,5,1,48,1
38,2,1,0,50,0
42,1,1,1,27,0
30,2,1,0,49,0
30,1,1,0,32,0
43,1,3,0,35,0
55,1,2,0,21,0
59,1,5,1,37,0
43,3,2,0,54,1
22,1,2,1,38,0
41,3,4,1,32,1
21,3,1,0,23,0
43,2,3,0,38,1
63,1,1,1,44,0
49,2,1,0,57,1
57,3,2,1,50,1
21,2,4,0,55,1
40,1,1,1,23,0
52,2,5,0,58,1
31,3,5,0,26,0
41,3,1,1,35,1
63,1,2,1,24,0
44,2,2,1,42,1
46,1,3,0,55,1
61,1,4,0,51,1
47,3,2,0,43,1
35,1,3,0,44,0
34,1,5,1,47,1
63,1,5,1,38,0
22,3,5,0,26,0
56,3,1,0,36,1
26,2,4,0,21,0
40,3,3,1,35,0
28,1,4,1,58,1
58,2,1,0,37,1
37,2,3,1,58,0
23,1,3,0,20,0
44,2,2,0,22,0
33,3,4,1,40,1
28,1,4,1,49,1
45,1,2,1,30,0
21,1,5,1,41,0
39,1,1,0,44,0
47,3,4,1,22,1
26,2,2,1,49,1
63,2,3,1,43,1
27,3,2,1,55,1
54,1,5,0,42,0
33,2,1,0,27,0
36,2,5,1,23,0
55,2,3,1,58,1
59,3,3,0,50,1
23,3,3,0,48,1
21,2,3,1,55,0
25,3,2,0,32,0
61,1,3,0,28,1
23,1,3,0,40,0
48,1,2,0,22,0
37,2,3,1,44,0
45,2,5,0,44,1
63,2,5,0,31,0
53,3,4,1,48,1
29,2,5,1,30,0
55,2,1,1,30,0
33,1,1,0,45,0
50,1,1,1,33,1
34,2,2,0,35,0
27,2,5,1,29,0
33,3,1,0,50,1
42,1,4,1,50,1
59,1,2,1,55,1
40,2,4,0,29,1
35,1,5,1,45,0
64,1,3,1,39,1
37,3,4,1,28,1
43,1,3,1,34,0
45,2,2,1,28,1
44,1,4,0,26,1
64,1,4,0,45,1
60,2,2,1,43,1
48,3,2,1,31,1
34,2,1,0,39,0
64,3,5,0,33,1
20,1,4,1,41,0
44,3,4,0,35,1
26,1,2,1,48,1
28,2,2,1,51,1
43,2,5,1,38,0
20,3,2,1,54,1
63,2,3,0,51,1
27,1,3,0,39,0
43,1,3,0,59,1
30,3,3,1,39,1
36,2,5,0,27,0
27,3,4,1,54,1
54,1,3,1,32,1
54,2,2,0,25,0
52,1,3,1,35,1
24,3,5,1,24,0
61,2,2,1,53,1
58,3,3,0,25,1
60,1,4,1,52,1
47,2,2,0,34,0
26,2,2,1,34,0
28,2,4,0,33,0
27,3,2,1,58,1
31,3,3,0,24,0
53,3,2,0,45,1
52,3,3,1,36,1
42,1,4,1,35,1
43,1,1,1,54,1
56,3,4,1,57,1
54,1,3,0,42,1
63,3,5,1,32,1
59,3,4,0,52,1
41,2,5,1,48,1
46,3,5,0,53,1
54,2,3,0,53,1
20,2,3,0,46,0
54,1,1,1,34,0
56,2,2,1,28,0
33,1,4,0,45,0
22,2,3,0,22,0
20,3,4,0,55,1
24,3,5,0,24,0
45,1,2,0,39,0
33,2,1,1,39,0
58,3,4,0,24,1
46,1,2,1,29,1
28,1,1,1,35,0
34,1,4,1,44,1
34,2,2,0,44,0
45,1,3,0,49,1
61,3,4,0,33,1
32,2,2,0,41,0
51,2,1,1,47,1
58,1,2,1,49,1
51,2,3,1,38,0
23,2,4,0,57,1
49,3,4,0,39,1
56,3,4,0,54,1
42,2,3,0,41,0
58,3,1,0,34,1
64,3,4,0,30,1
34,3,1,1,53,1
62,1,2,1,43,0
48,1,1,0,25,0
55,1,1,1,36,1
32,2,4,1,47,1
51,2,5,1,50,1
26,2,5,1,55,0
41,3,3,0,28,1
47,3,3,1,29,1
21,3,5,0,40,1
61,2,2,0,53,1
64,2,4,1,50,1
25,1,4,0,48,1
47,1,2,1,30,0
47,1,2,0,52,1
63,2,5,0,20,0
63,2,3,1,40,0
39,3,2,1,42,1
49,1,3,0,28,0
30,3,1,1,20,0
47,2,4,0,40,1
44,1,5,1,41,0
58,2,4,0,23,1
52,1,5,0,20,0
20,2,1,0,29,0
46,2,4,0,34,1
32,1,1,0,55,0
60,1,5,1,48,1
22,2,2,0,24,0
58,3,4,1,48,1
25,2,1,1,46,1
27,3,4,0,44,1
46,2,4,0,35,1
28,3,4,1,35,1
56,3,3,0,55,1
52,2,1,0,44,0
61,2,1,1,20,0
63,3,4,1,24,1
43,2,2,1,39,0
34,2,4,1,24,0
51,1,3,1,55,1
51,3,5,1,48,1
43,3,3,0,53,1
60,1,2,1,37,0
31,2,4,1,21,0
58,2,1,0,35,0
21,1,4,0,48,1
22,3,2,0,52,1
56,1,1,0,35,1
36,1,3,0,54,1
21,2,5,0,36,0
21,3,5,1,23,1
47,1,4,0,23,1
42,2,3,0,44,0
56,2,2,0,52,1
51,1,5,0,33,1
52,1,3,1,43,0
20,2,4,0,30,0
38,1,1,0,44,0
21,3,4,1,47,1
63,3,4,1,26,1
45,3,3,1,55,1
51,1,5,0,29,0
25,3,3,1,55,1
51,2,1,1,50,1
23,2,3,1,38,0
30,1,2,0,37,0
36,1,4,0,25,0
57,2,5,1,47,1
43,2,1,0,26,0
24,1,4,0,57,1
53,2,3,0,31,0
25,1,2,0,53,0
41,2,3,0,44,0
30,2,4,1,36,0
35,3,1,1,52,1
52,3,5,1,42,1
28,2,4,1,28,1
25,2,1,0,25,0
35,2,4,1,21,1
48,3,2,1,57,1
22,2,3,0,28,0
39,1,5,0,22,0
55,1,1,0,35,1
38,2,5,0,44,0
45,2,5,1,43,0
22,3,5,0,48,1
38,1,1,0,59,1
39,2,1,0,45,0
51,3,5,0,57,1
26,3,3,0,54,1
60,2,4,0,42,1
52,2,5,1,23,0
59,2,2,1,33,0
58,3,5,1,58,1
37,1,1,0,26,0
59,3,4,0,27,1
20,2,2,1,38,0
30,2,4,1,21,0
47,1,4,1,20,1
44,2,2,1,57,1
42,2,5,0,32,0
50,1,5,1,43,0
49,2,5,0,51,1
61,3,3,0,49,1
54,2,5,0,25,0
26,3,2,1,57,1
35,1,3,1,52,0
45,2,5,1,42,0
21,1,3,0,29,0
20,2,2,0,34,0
31,3,5,1,42,0
24,2,1,0,55,0
56,1,2,1,20,1
51,2,4,0,27,1
28,2,4,0,22,1
60,2,2,0,33,1
54,3,4,0,36,1
38,3,2,0,53,1
35,2,1,0,25,0
22,2,2,0,24,0
39,1,5,1,59,1
43,1,5,0,48,1
52,2,3,0,54,1
43,2,4,1,37,1
30,2,4,1,59,1
27,2,2,1,49,0
55,1,4,1,34,1
57,2,5,0,34,1
59,1,1,0,35,1
39,1,2,1,52,0
54,3,4,0,29,1
44,1,5,1,38,0
54,2,3,0,56,1
44,1,4,0,22,1
48,3,1,0,55,1
37,2,1,0,23,0
37,1,4,0,30,0
21,2,4,1,52,1
54,3,5,0,47,1
35,3,4,0,51,1
60,1,3,0,35,0
55,3,5,0,28,1
52,3,2,0,30,1
23,3,3,1,25,1
52,2,5,0,46,1
33,2,5,1,31,0
40,2,1,0,41,0
39,3,5,0,59,1
27,2,3,1,56,0
26,2,4,0,40,0
22,2,3,0,52,0
36,3,2,1,36,0
52,3,5,0,48,1
31,1,5,1,59,1
41,3,5,1,29,1
41,2,5,1,37,0
49,3,1,0,32,1
57,2,1,0,46,1
57,2,4,1,29,1
64,3,5,0,51,1
27,1,2,1,22,0
46,3,4,0,41,1
46,2,5,1,46,1
53,2,1,0,22,1
40,2,2,1,52,0
49,2,4,0,21,1
52,2,2,1,30,0
47,1,5,0,29,1
52,1,3,1,58,1
24,1,2,0,52,0
38,3,2,0,26,0
23,3,1,1,34,0
54,2,5,0,45,1
36,3,2,0,30,1
63,2,5,0,57,1
47,2,1,0,46,1
49,3,5,1,58,1
48,3,1,0,26,1
25,2,1,0,20,0
54,3,4,1,29,1
60,1,5,0,40,0
56,3,3,1,34,1
43,1,4,0,49,1
48,2,1,1,49,1
50,2,3,0,27,0
54,2,2,1,43,0
52,1,2,1,38,1
40,3,4,1,22,1
51,1,3,0,34,0
42,2,5,1,55,1
52,1,3,0,25,0
22,2,4,1,37,0
37,2,5,1,57,0
44,2,5,1,38,0
61,1,2,0,49,1
50,1,3,0,32,0
22,2,5,1,58,1
59,3,4,1,31,1
43,3,2,1,53,1
51,1,5,1,31,0
41,2,3,1,43,1
42,1,2,1,23,1
21,1,3,1,55,0
46,2,3,1,33,0
61,2,3,0,36,1
21,1,2,1,22,0
45,1,5,0,57,1
36,1,1,1,42,0
59,3,5,0,32,1
52,3,2,0,28,1
28,1,1,1,40,0
62,1,1,0,27,0
58,3,1,0,36,1
48,3,4,1,35,1
61,2,2,1,35,0
45,1,4,1,47,1
54,1,1,0,35,0
44,2,4,1,33,1
43,2,4,0,57,1
32,1,2,1,39,0
26,2,3,1,53,0
55,1,4,0,48,1
64,3,4,0,22,1
39,2,1,0,29,0
20,1,1,1,39,0
27,2,1,1,21,0
35,2,5,1,46,1
33,3,4,0,51,1
31,2,1,0,29,0
42,1,2,0,59,1
34,3,5,0,36,0
47,1,3,1,52,1
53,3,4,0,25,1
21,2,4,0,58,1
51,2,2,1,37,0
42,1,3,1,28,0
41,2,3,0,27,0
44,3,5,0,44,1
41,3,4,0,50,1
41,1,1,0,23,0
61,1,2,0,39,0
25,3,2,0,47,1
34,3,2,1,59,1
62,1,2,1,20,0
56,2,1,1,59,1
52,2,1,1,42,0
27,3,5,0,32,1
63,1,4,0,35,1
63,1,1,0,45,1
24,3,5,0,50,1
58,1,3,1,20,0
23,2,4,0,36,0
25,2,1,0,35,0
64,2,3,0,56,1
51,2,5,0,29,1
49,2,1,1,57,1
54,1,1,0,50,1
59,2,3,1,29,0
35,3,1,0,53,1
32,3,2,0,25,1
61,1,1,0,47,1
49,1,4,1,47,1
38,1,3,0,32,0
36,2,4,0,31,0
38,2,5,0,59,1
47,2,4,1,21,1
45,1,2,1,27,1
56,1,2,0,28,0
45,2,4,1,27,1
42,2,5,0,22,0
28,1,1,0,28,0
31,2,2,1,32,0
20,1,4,0,28,0
20,3,4,0,50,1
53,3,4,1,44,1
51,1,1,1,27,0
44,1,3,1,50,1
59,2,5,1,50,1
64,1,3,0,36,0
20,2,5,0,38,0
35,3,5,0,22,1
58,2,4,0,49,1
24,3,2,0,29,0
41,2,4,0,48,1
48,1,1,0,59,1
22,3,5,0,37,0
31,2,2,1,31,0
45,2,5,0,42,0
35,1,5,0,30,0
56,1,4,0,28,1
41,3,2,0,43,1
48,1,2,0,44,0
33,3,5,1,44,1
47,3,2,1,28,1
24,3,2,1,31,0
49,2,4,0,30,1
24,2,3,0,57,0
31,3,1,0,47,1
35,1,3,0,27,0
45,2,2,1,29,0
45,2,5,1,44,0
40,2,1,0,55,0
58,2,1,0,28,0
55,2,5,1,27,1
52,2,1,1,22,0
49,3,5,1,37,1
56,1,1,1,54,1
42,3,3,1,36,1
29,2,1,1,55,0
24,3,4,1,47,1
55,2,5,0,34,0
53,3,1,0,38,1
50,1,5,1,41,0
29,3,4,0,25,1
38,1,1,1,26,0
51,3,1,0,28,1
20,3,4,1,39,1
24,1,4,0,56,1
64,1,4,1,30,1
23,3,5,0,21,0
35,1,4,0,41,0
43,3,5,1,55,1
35,1,3,1,24,0
21,1,1,1,26,0
47,3,1,0,25,1
51,2,2,0,41,0
46,3,3,0,29,1
39,2,4,0,59,1
43,2,4,1,39,1
31,2,3,1,47,0
54,2,4,0,42,1
52,2,2,1,54,1
52,2,5,1,20,0
62,2,1,1,48,1
56,1,3,1,28,1
31,3,1,0,28,1
22,1,5,1,41,0
20,2,3,1,21,0
52,1,5,1,35,0
59,2,4,0,59,1
29,3,4,1,25,1
62,1,4,0,32,1
63,1,5,0,52,1
48,1,5,1,38,0
